File,Mode,Chunks,Time (s),Outcome
856399094_1922_051_07.txt,parallel,7,86.7,✅ success
856399094_1922_051_08.txt,parallel,8,307.12,❌ parse failed
856399094_1922_051_19.txt,parallel,6,155.8,✅ success
856399094_1922_051_20.txt,parallel,7,107.51,✅ success
856399094_1922_051_21.txt,parallel,7,58.52,✅ success
856399094_1922_051_22.txt,parallel,6,106.98,✅ success
856399094_1922_051_23.txt,parallel,6,141.45,✅ success
856399094_1922_051_25.txt,parallel,6,76.9,✅ success
856399094_1922_051_26.txt,parallel,7,171.01,✅ success
856399094_1922_051_27.txt,parallel,6,106.12,✅ success
856399094_1922_051_28.txt,parallel,7,143.1,✅ success
856399094_1922_051_29.txt,parallel,7,76.93,✅ success
856399094_1922_051_30.txt,parallel,7,172.95,✅ success
856399094_1922_051_31.txt,parallel,6,134.66,✅ success
856399094_1922_051_32.txt,parallel,7,117.46,✅ success
856399094_1922_051_33.txt,parallel,7,160.21,✅ success
856399094_1922_051_34.txt,parallel,7,159.18,✅ success
856399094_1922_052_05.txt,parallel,6,100.51,✅ success
856399094_1922_052_06.txt,parallel,7,93.3,✅ success
856399094_1922_052_17.txt,parallel,8,620.91,"❌ failed chunks [6, 7, 8]"
856399094_1922_052_18.txt,parallel,7,90.87,✅ success
856399094_1922_052_20.txt,parallel,5,111.17,✅ success
856399094_1922_052_21.txt,parallel,7,133.81,✅ success
856399094_1922_052_22.txt,parallel,6,72.59,✅ success
856399094_1922_052_23.txt,parallel,6,79.97,✅ success
856399094_1922_052_24.txt,parallel,6,131.68,✅ success
856399094_1922_052_25.txt,parallel,6,76.43,✅ success
856399094_1922_052_26.txt,parallel,6,143.74,✅ success
856399094_1922_052_27.txt,parallel,6,108.25,✅ success
856399094_1922_052_28.txt,parallel,6,93.35,✅ success
856399094_1922_052_29.txt,parallel,7,167.92,✅ success
856399094_1922_052_30.txt,parallel,6,159.34,✅ success
856399094_1922_052_31.txt,parallel,6,127.67,✅ success
856399094_1922_052_32.txt,parallel,7,129.66,✅ success
856399094_1922_052_33.txt,parallel,7,136.25,✅ success
856399094_1922_052_34.txt,parallel,6,97.21,✅ success
856399094_1922_053_08.txt,parallel,6,57.22,✅ success
856399094_1922_053_09.txt,parallel,7,122.38,✅ success
856399094_1922_053_10.txt,parallel,8,74.74,✅ success
856399094_1922_053_11.txt,parallel,6,83.73,✅ success
856399094_1922_053_20.txt,parallel,6,120.47,✅ success
856399094_1922_053_21.txt,parallel,6,97.96,✅ success
856399094_1922_053_22.txt,parallel,7,86.59,✅ success
856399094_1922_053_23.txt,parallel,7,149.08,✅ success
856399094_1922_053_24.txt,parallel,6,103.11,✅ success
856399094_1922_053_25.txt,parallel,7,113.95,✅ success
856399094_1922_053_27.txt,parallel,7,151.24,✅ success
856399094_1922_053_28.txt,parallel,7,119.68,✅ success
856399094_1922_053_29.txt,parallel,7,124.43,✅ success
856399094_1922_053_30.txt,parallel,7,111.7,✅ success
856399094_1922_053_31.txt,parallel,7,138.07,✅ success
856399094_1922_053_32.txt,parallel,7,126.78,✅ success
856399094_1922_054_09.txt,parallel,6,104.75,✅ success
856399094_1922_054_10.txt,parallel,7,102.45,✅ success
856399094_1922_054_19.txt,parallel,6,95.4,✅ success
856399094_1922_054_20.txt,parallel,7,101.35,✅ success
856399094_1922_054_21.txt,parallel,7,129.22,✅ success
856399094_1922_054_22.txt,parallel,7,125.59,✅ success
856399094_1922_054_23.txt,parallel,6,174.46,✅ success
856399094_1922_054_24.txt,parallel,7,131.39,✅ success
856399094_1922_054_25.txt,parallel,7,156.11,✅ success
856399094_1922_054_26.txt,parallel,7,146.58,✅ success
856399094_1922_054_27.txt,parallel,7,130.55,✅ success
856399094_1922_054_28.txt,parallel,7,191.97,✅ success
856399094_1922_054_29.txt,parallel,7,136.17,✅ success
856399094_1922_054_30.txt,parallel,7,130.56,✅ success
856399094_1922_055_13.txt,parallel,6,120.21,✅ success
856399094_1922_055_14.txt,parallel,8,105.44,✅ success
856399094_1922_055_22.txt,parallel,5,79.06,✅ success
856399094_1922_055_31.txt,parallel,7,188.0,✅ success
856399094_1922_055_32.txt,parallel,6,87.26,✅ success
856399094_1922_055_33.txt,parallel,6,79.52,✅ success
856399094_1922_055_34.txt,parallel,6,133.26,✅ success
856399094_1922_055_35.txt,parallel,7,137.7,✅ success
856399094_1922_055_36.txt,parallel,7,123.89,✅ success
856399094_1922_055_37.txt,parallel,7,105.02,✅ success
856399094_1922_055_38.txt,parallel,7,159.47,✅ success
856399094_1922_055_39.txt,parallel,6,115.13,✅ success
856399094_1922_055_40.txt,parallel,6,125.84,✅ success
856399094_1922_056_08.txt,parallel,8,68.82,✅ success
856399094_1922_056_09.txt,parallel,6,122.06,✅ success
856399094_1922_056_10.txt,parallel,7,176.46,✅ success
856399094_1922_056_14.txt,parallel,5,36.46,✅ success
856399094_1922_056_18.txt,parallel,6,59.07,✅ success
856399094_1922_056_20.txt,parallel,6,91.26,✅ success
856399094_1922_056_21.txt,parallel,6,111.85,✅ success
856399094_1922_056_22.txt,parallel,6,99.32,✅ success
856399094_1922_056_23.txt,parallel,7,142.03,✅ success
856399094_1922_056_24.txt,parallel,5,68.95,✅ success
856399094_1922_056_25.txt,parallel,7,140.7,✅ success
856399094_1922_056_26.txt,parallel,6,85.38,✅ success
856399094_1922_056_27.txt,parallel,6,138.81,✅ success
856399094_1922_056_28.txt,parallel,7,181.85,✅ success
856399094_1922_056_29.txt,parallel,6,115.26,✅ success
856399094_1922_056_30.txt,parallel,7,115.96,✅ success
856399094_1922_056_31.txt,parallel,7,154.81,✅ success
856399094_1922_056_32.txt,parallel,7,87.53,✅ success
856399094_1922_057_07.txt,parallel,7,67.49,✅ success
856399094_1922_057_08.txt,parallel,7,109.38,✅ success
856399094_1922_057_09.txt,parallel,6,562.88,❌ failed chunks [4]
856399094_1922_057_17.txt,parallel,6,115.54,✅ success
856399094_1922_057_18.txt,parallel,7,83.87,✅ success
856399094_1922_057_19.txt,parallel,6,95.57,✅ success
856399094_1922_057_20.txt,parallel,6,131.75,✅ success
856399094_1922_057_21.txt,parallel,6,140.1,✅ success
856399094_1922_057_23.txt,parallel,6,96.34,✅ success
856399094_1922_057_24.txt,parallel,7,161.14,✅ success
856399094_1922_057_25.txt,parallel,6,131.19,✅ success
856399094_1922_057_26.txt,parallel,6,104.92,✅ success
856399094_1922_057_27.txt,parallel,7,133.96,✅ success
856399094_1922_057_28.txt,parallel,7,115.33,✅ success
856399094_1922_058_07.txt,parallel,6,56.3,✅ success
856399094_1922_058_08.txt,parallel,6,240.88,✅ success
856399094_1922_058_17.txt,parallel,6,81.02,✅ success
856399094_1922_058_21.txt,parallel,9,138.33,✅ success
856399094_1922_058_22.txt,parallel,6,57.17,✅ success
856399094_1922_058_23.txt,parallel,7,76.88,✅ success
856399094_1922_058_25.txt,parallel,7,103.96,✅ success
856399094_1922_058_26.txt,parallel,6,114.02,✅ success
856399094_1922_058_27.txt,parallel,7,145.97,✅ success
856399094_1922_058_28.txt,parallel,6,95.3,✅ success
856399094_1922_058_29.txt,parallel,6,83.33,✅ success
856399094_1922_058_31.txt,parallel,7,161.24,✅ success
856399094_1922_058_32.txt,parallel,7,154.1,✅ success
856399094_1922_058_33.txt,parallel,7,128.93,✅ success
856399094_1922_058_34.txt,parallel,7,153.52,✅ success
856399094_1922_058_35.txt,parallel,6,143.16,✅ success
856399094_1922_058_36.txt,parallel,7,154.88,✅ success
856399094_1922_058_37.txt,parallel,7,142.86,✅ success
856399094_1922_058_38.txt,parallel,6,135.82,✅ success
856399094_1922_059_07.txt,parallel,7,58.99,✅ success
856399094_1922_059_08.txt,parallel,7,123.52,✅ success
856399094_1922_059_09.txt,parallel,7,86.41,✅ success
856399094_1922_059_18.txt,parallel,6,86.88,✅ success
856399094_1922_059_19.txt,parallel,7,92.53,✅ success
856399094_1922_059_20.txt,parallel,7,89.69,✅ success
856399094_1922_059_21.txt,parallel,5,108.17,✅ success
856399094_1922_059_22.txt,parallel,7,112.25,✅ success
856399094_1922_059_23.txt,parallel,7,152.22,✅ success
856399094_1922_059_24.txt,parallel,7,118.23,✅ success
856399094_1922_059_25.txt,parallel,7,145.46,✅ success
856399094_1922_059_26.txt,parallel,7,156.55,✅ success
856399094_1922_059_27.txt,parallel,6,111.95,✅ success
856399094_1922_059_28.txt,parallel,7,180.72,✅ success
856399094_1922_060_18.txt,parallel,7,52.43,✅ success
856399094_1922_060_19.txt,parallel,7,130.93,✅ success
856399094_1922_060_20.txt,parallel,8,108.94,✅ success
856399094_1922_060_21.txt,parallel,6,61.88,✅ success
856399094_1922_060_28.txt,parallel,6,93.44,✅ success
856399094_1922_060_29.txt,parallel,6,99.28,✅ success
856399094_1922_060_30.txt,parallel,6,73.35,✅ success
856399094_1922_060_31.txt,parallel,7,103.69,✅ success
856399094_1922_060_32.txt,parallel,7,78.51,✅ success
856399094_1922_060_33.txt,parallel,6,90.45,✅ success
856399094_1922_060_34.txt,parallel,7,87.02,✅ success
856399094_1922_060_35.txt,parallel,7,143.99,✅ success
856399094_1922_060_36.txt,parallel,7,170.64,✅ success
856399094_1922_060_37.txt,parallel,7,166.06,✅ success
856399094_1922_060_38.txt,parallel,7,130.6,✅ success
856399094_1922_060_39.txt,parallel,7,148.36,✅ success
856399094_1922_060_40.txt,parallel,7,152.25,✅ success
856399094_1922_061_01.txt,parallel,4,32.24,✅ success
856399094_1922_061_09.txt,parallel,6,41.25,✅ success
856399094_1922_061_10.txt,parallel,7,120.2,✅ success
856399094_1922_061_11.txt,parallel,8,560.06,"❌ failed chunks [4, 5]"
856399094_1922_061_18.txt,parallel,5,40.32,✅ success
856399094_1922_061_20.txt,parallel,5,85.63,✅ success
856399094_1922_061_30.txt,parallel,7,106.21,✅ success
856399094_1922_061_31.txt,parallel,7,139.38,✅ success
856399094_1922_061_32.txt,parallel,7,147.52,✅ success
856399094_1922_061_33.txt,parallel,6,90.59,✅ success
856399094_1922_061_34.txt,parallel,7,138.11,✅ success
856399094_1922_061_35.txt,parallel,7,147.56,✅ success
856399094_1922_061_36.txt,parallel,7,188.47,✅ success
856399094_1922_061_37.txt,parallel,7,117.53,✅ success
856399094_1922_061_38.txt,parallel,7,129.7,✅ success
856399094_1922_061_39.txt,parallel,7,120.04,✅ success
856399094_1922_061_40.txt,parallel,6,178.76,✅ success
856399094_1922_062_09.txt,parallel,6,100.35,✅ success
856399094_1922_062_10.txt,parallel,7,105.93,✅ success
856399094_1922_062_11.txt,parallel,8,79.18,❌ parse failed
856399094_1922_062_19.txt,parallel,5,46.68,✅ success
856399094_1922_062_20.txt,parallel,6,92.54,✅ success
856399094_1922_062_21.txt,parallel,6,95.62,✅ success
856399094_1922_062_22.txt,parallel,7,101.4,✅ success
856399094_1922_062_23.txt,parallel,7,155.37,✅ success
856399094_1922_062_24.txt,parallel,6,104.94,✅ success
856399094_1922_062_25.txt,parallel,6,67.54,✅ success
856399094_1922_062_26.txt,parallel,7,153.66,✅ success
856399094_1922_062_27.txt,parallel,7,145.13,✅ success
856399094_1922_062_28.txt,parallel,7,109.32,✅ success
856399094_1922_062_29.txt,parallel,6,146.22,✅ success
856399094_1922_062_30.txt,parallel,6,131.5,✅ success
856399094_1922_062_31.txt,parallel,7,109.2,✅ success
