File,Mode,Chunks,Time (s),Outcome
856399094_1875_041_10.txt,parallel,6,166.87,✅ success
856399094_1875_042_10.txt,parallel,6,137.13,✅ success
856399094_1875_043_01.txt,parallel,4,28.98,✅ success
856399094_1875_043_10.txt,parallel,6,77.46,✅ success
856399094_1875_044_07.txt,parallel,6,73.67,✅ success
856399094_1875_044_11.txt,parallel,5,131.71,✅ success
856399094_1875_044_12.txt,parallel,6,100.92,✅ success
856399094_1875_045_07.txt,parallel,6,60.2,✅ success
856399094_1875_045_11.txt,parallel,6,132.2,✅ success
856399094_1875_045_12.txt,parallel,7,53.12,✅ success
856399094_1875_046_07.txt,parallel,6,79.97,✅ success
856399094_1875_046_09.txt,parallel,6,133.86,✅ success
856399094_1875_046_10.txt,parallel,7,146.12,✅ success
856399094_1875_047_01.txt,parallel,4,24.18,✅ success
856399094_1875_047_07.txt,parallel,7,54.5,✅ success
856399094_1875_047_10.txt,parallel,6,145.69,✅ success
856399094_1875_047_11.txt,parallel,6,121.01,✅ success
856399094_1875_047_12.txt,parallel,6,101.76,✅ success
856399094_1875_048_10.txt,parallel,6,114.48,✅ success
856399094_1875_048_14.txt,parallel,6,80.57,✅ success
856399094_1875_049_07.txt,parallel,6,66.22,✅ success
856399094_1875_049_09.txt,parallel,5,128.34,✅ success
856399094_1875_049_10.txt,parallel,6,78.4,✅ success
856399094_1875_050_07.txt,parallel,6,72.81,✅ success
856399094_1875_050_15.txt,parallel,5,142.42,✅ success
856399094_1875_051_05.txt,parallel,6,40.76,✅ success
856399094_1875_051_06.txt,parallel,7,66.37,✅ success
856399094_1875_051_10.txt,parallel,6,121.64,✅ success
856399094_1875_051_11.txt,parallel,6,151.47,✅ success
856399094_1875_051_12.txt,parallel,6,65.52,✅ success
856399094_1875_052_06.txt,parallel,5,74.63,✅ success
856399094_1875_052_10.txt,parallel,7,130.25,✅ success
856399094_1875_053_11.txt,parallel,5,117.94,✅ success
856399094_1875_054_09.txt,parallel,5,63.71,✅ success
856399094_1875_054_14.txt,parallel,7,105.74,✅ success
856399094_1875_054_15.txt,parallel,6,152.46,✅ success
856399094_1875_054_16.txt,parallel,6,87.69,✅ success
856399094_1875_055_11.txt,parallel,5,127.98,✅ success
856399094_1875_055_12.txt,parallel,6,62.47,✅ success
856399094_1875_056_01.txt,parallel,5,48.22,✅ success
856399094_1875_056_10.txt,parallel,6,103.2,✅ success
856399094_1875_057_09.txt,parallel,6,47.82,✅ success
856399094_1875_057_11.txt,parallel,6,81.61,✅ success
856399094_1875_057_12.txt,parallel,6,119.78,✅ success
856399094_1875_057_13.txt,parallel,6,95.62,✅ success
856399094_1875_057_14.txt,parallel,6,58.15,✅ success
856399094_1875_058_11.txt,parallel,6,222.0,✅ success
856399094_1875_058_12.txt,parallel,6,152.37,✅ success
856399094_1875_059_07.txt,parallel,7,52.91,✅ success
856399094_1875_059_10.txt,parallel,6,89.18,✅ success
856399094_1875_060_06.txt,parallel,5,54.68,✅ success
856399094_1875_060_11.txt,parallel,6,144.3,✅ success
856399094_1875_060_12.txt,parallel,6,90.25,✅ success
856399094_1875_061_08.txt,parallel,6,50.93,✅ success
856399094_1875_061_13.txt,parallel,5,37.9,✅ success
856399094_1875_061_15.txt,parallel,6,39.19,✅ success
856399094_1875_061_16.txt,parallel,6,108.06,✅ success
856399094_1875_062_07.txt,parallel,6,55.34,✅ success
856399094_1875_062_18.txt,parallel,6,42.48,✅ success
856399094_1875_063_09.txt,parallel,6,88.92,✅ success
856399094_1875_063_13.txt,parallel,5,115.48,✅ success
856399094_1875_063_15.txt,parallel,5,116.54,✅ success
856399094_1875_063_16.txt,parallel,6,117.13,✅ success
856399094_1875_064_07.txt,parallel,6,76.46,✅ success
856399094_1875_064_12.txt,parallel,6,165.87,✅ success
856399094_1875_064_13.txt,parallel,6,218.44,✅ success
856399094_1875_064_14.txt,parallel,7,178.47,✅ success
856399094_1875_065_05.txt,parallel,8,14.58,✅ success
856399094_1875_065_07.txt,parallel,6,57.38,✅ success
856399094_1875_065_10.txt,parallel,6,126.25,✅ success
856399094_1875_066_09.txt,parallel,5,75.59,✅ success
856399094_1875_066_11.txt,parallel,5,105.08,✅ success
856399094_1875_066_12.txt,parallel,6,81.81,✅ success
856399094_1875_067_07.txt,parallel,6,64.74,✅ success
856399094_1875_067_13.txt,parallel,5,229.71,✅ success
856399094_1875_067_18.txt,parallel,5,75.18,✅ success
856399094_1875_068_09.txt,parallel,5,60.97,✅ success
856399094_1875_068_14.txt,parallel,6,110.21,✅ success
856399094_1875_069_09.txt,parallel,5,104.54,✅ success
856399094_1875_069_10.txt,parallel,6,123.67,✅ success
