File,Mode,Chunks,Time (s),Outcome
856399094_1922_051_08.txt,parallel,8,323.03,❌ parse failed
856399094_1922_052_17.txt,parallel,8,564.53,"❌ failed chunks [6, 7]"
856399094_1922_057_09.txt,parallel,6,550.8,❌ failed chunks [4]
856399094_1922_061_11.txt,parallel,8,385.87,"❌ failed chunks [5, 4]"
856399094_1922_062_11.txt,parallel,8,21.14,"❌ failed chunks [1, 3, 2, 4, 7, 8, 6, 5]"
856399094_1922_064_25.txt,parallel,9,10.15,"❌ failed chunks [4, 2, 3, 5, 7, 9, 1, 8, 6]"
856399094_1922_071_08.txt,parallel,7,156.0,"❌ failed chunks [6, 1, 7, 5]"
856399094_1922_282_16.txt,parallel,5,211.47,"❌ failed chunks [3, 5, 1, 4, 2]"
856399094_1922_282_17.txt,parallel,6,31.19,"❌ failed chunks [5, 2, 4, 3, 1, 6]"
856399094_1922_282_18.txt,parallel,7,20.13,"❌ failed chunks [1, 4, 2, 3, 7, 6, 5]"
856399094_1922_282_19.txt,parallel,7,15.58,"❌ failed chunks [3, 5, 2, 6, 4, 1, 7]"
856399094_1924_010_03.txt,parallel,7,9.04,"❌ failed chunks [1, 5, 2, 4, 6, 7, 3]"
856399094_1924_012_20.txt,parallel,7,9.23,"❌ failed chunks [3, 1, 5, 4, 2, 7, 6]"
856399094_1924_013_15.txt,parallel,7,20.13,"❌ failed chunks [1, 2, 3, 5, 4, 7, 6]"
856399094_1924_017_22.txt,parallel,7,20.1,"❌ failed chunks [5, 3, 7, 2, 4, 1, 6]"
856399094_1924_039_05.txt,parallel,7,229.35,"❌ failed chunks [5, 1, 3, 6, 7]"
856399094_1924_039_06.txt,parallel,6,30.39,"❌ failed chunks [5, 2, 1, 4, 3, 6]"
856399094_1924_039_09.txt,parallel,6,20.52,"❌ failed chunks [3, 2, 4, 5, 1, 6]"
856399094_1924_045_05.txt,parallel,6,20.54,"❌ failed chunks [5, 2, 3, 4, 1, 6]"
856399094_1924_049_20.txt,parallel,7,551.05,"❌ failed chunks [3, 1]"
856399094_1924_051_12.txt,parallel,8,434.03,"❌ failed chunks [1, 3]"
856399094_1924_051_17.txt,parallel,6,381.07,❌ failed chunks [2]
856399094_1936_001_13.txt,parallel,7,63.92,"❌ failed chunks [2, 7, 5, 3, 4, 1, 6]"
856399094_1936_001_14.txt,parallel,6,180.22,"❌ failed chunks [1, 3, 4, 5, 6, 2]"
