File,Mode,Chunks,Time (s),Outcome
856399094_1922_051_08.txt,parallel,8,312.8,❌ parse failed
856399094_1922_052_17.txt,parallel,8,570.6,"❌ failed chunks [6, 7, 8]"
856399094_1922_057_09.txt,parallel,6,561.9,"❌ failed chunks [4, 6]"
856399094_1922_061_11.txt,parallel,8,568.93,❌ failed chunks [4]
856399094_1922_062_11.txt,parallel,8,79.28,❌ parse failed
856399094_1922_064_25.txt,parallel,9,573.61,"❌ failed chunks [6, 7, 8, 9]"
856399094_1922_071_08.txt,parallel,7,124.61,❌ parse failed
856399094_1924_010_03.txt,parallel,7,559.85,"❌ failed chunks [3, 4, 6, 7]"
856399094_1924_012_20.txt,parallel,7,158.71,❌ parse failed
856399094_1924_013_15.txt,parallel,7,575.19,"❌ failed chunks [1, 6, 7]"
856399094_1924_017_22.txt,parallel,7,573.93,"❌ failed chunks [3, 4, 6, 7]"
856399094_1924_045_05.txt,parallel,6,88.19,❌ parse failed
856399094_1924_049_20.txt,parallel,7,572.5,"❌ failed chunks [4, 1, 3, 5]"
856399094_1924_051_12.txt,parallel,8,572.96,❌ failed chunks [4]
856399094_1924_051_17.txt,parallel,6,550.96,"❌ failed chunks [1, 2]"
856399094_1936_021_05.txt,parallel,7,82.77,❌ parse failed
856399094_1936_023_12.txt,parallel,7,595.0,"❌ failed chunks [4, 5, 6]"
856399094_1936_027_18.txt,parallel,6,568.94,"❌ failed chunks [5, 1, 3, 6]"
856399094_1936_031_17.txt,parallel,7,550.97,"❌ failed chunks [1, 5, 3]"
856399094_1936_035_17.txt,parallel,7,573.93,"❌ failed chunks [5, 6]"
856399094_1936_036_08.txt,parallel,7,592.98,"❌ failed chunks [4, 6]"
856399094_1936_047_05.txt,parallel,6,76.75,❌ parse failed
856399094_1936_048_06.txt,parallel,6,85.73,❌ parse failed
856399094_1936_051_18.txt,parallel,6,115.53,❌ parse failed
856399094_1936_076_20.txt,parallel,7,571.75,"❌ failed chunks [1, 5]"
856399094_1936_091_06.txt,parallel,8,558.93,"❌ failed chunks [4, 6]"
856399094_1936_158_06.txt,parallel,8,135.78,❌ parse failed
856399094_1936_169_05.txt,parallel,6,67.38,❌ parse failed
856399094_1936_184_14.txt,parallel,6,119.12,❌ parse failed
856399094_1936_203_04.txt,parallel,6,75.34,❌ parse failed
856399094_1936_206_09.txt,parallel,6,562.96,"❌ failed chunks [3, 4]"
856399094_1936_207_16.txt,parallel,7,587.97,"❌ failed chunks [1, 5, 3, 2, 4]"
856399094_1936_217_06.txt,parallel,7,76.92,❌ parse failed
856399094_1936_219_09.txt,parallel,5,46.33,❌ parse failed
856399094_1936_219_12.txt,parallel,7,550.65,❌ failed chunks [3]
856399094_1936_225_06.txt,parallel,6,558.99,"❌ failed chunks [1, 6]"
856399094_1936_229_07.txt,parallel,6,110.91,❌ parse failed
856399094_1936_232_15.txt,parallel,6,572.0,"❌ failed chunks [3, 6]"
856399094_1936_236_09.txt,parallel,4,55.77,❌ parse failed
856399094_1936_241_10.txt,parallel,7,596.14,"❌ failed chunks [5, 6]"
856399094_1936_244_15.txt,parallel,6,550.95,"❌ failed chunks [1, 4]"
856399094_1936_248_06.txt,parallel,7,101.16,❌ parse failed
856399094_1936_249_14.txt,parallel,7,565.76,"❌ failed chunks [2, 6]"
856399094_1936_250_10.txt,parallel,7,81.14,❌ parse failed
856399094_1936_260_15.txt,parallel,6,550.74,❌ failed chunks [3]
856399094_1936_262_22.txt,parallel,7,550.97,❌ failed chunks [5]
856399094_1936_265_15.txt,parallel,7,214.29,❌ parse failed
856399094_1936_266_07.txt,parallel,6,550.63,"❌ failed chunks [2, 5]"
856399094_1936_266_15.txt,parallel,7,136.07,❌ parse failed
856399094_1936_271_16.txt,parallel,5,113.98,❌ parse failed
856399094_1936_303_26.txt,parallel,6,550.74,"❌ failed chunks [3, 2]"

Total runtime (s):,19005.46
